quests_title,quests_description,quests_objective
Stage 1 – Crush the Competition,"Defeat Cold Assault Attack Droids, Cold Assault Defense Droids, White Cruel Maw Marauders, Cruel White Maw Mercenaries, Greedy White Maw Bandits, and Greedy White Maw Thieves in the Starship Graveyard.",Defeat White Maw Pirates
Stage 1 – Keeping Secrets,"Defeat Cold Assault Attack Droids, Cruel White Maw Mercenaries, Fierce White Maw Fleet Masters, and Greedy White Maw Bandits in the Starship Graveyard.",Defeat White Maw Forces
Stage 2 – Crush the Competition,"Loot explosives off of Cruel White Maw Marauders, Cruel White Maw Mercenaries, Greedy White Maw Bandits, and Greedy White Maw Thieves in the Starship Graveyard, and use them to sabotage the White Maw transports.",Loot Pirate Explosives
Stage 2 – Keeping Secrets,Destroy a Pirate Data Center in the Starship Graveyard.,Destroy a Pirate Data Center
Stage 3 – Crush the Competition,"Defeat White Maw Commandos, White Maw Mates, White Maw Marines, and White Maw Technicians inside the Star of Coruscant.",Defeat White Maw Pirates
Stage 3- Keeping Secrets,Defeat White Maw Marines inside the Star of Coruscant.,Defeat White Maw Marines
Storming the Fortress,"You have boarded the Emperor’s fortress and are converging on his throne room to meet your Jedi strike team allies there.
Derfeat all fortress defenses in your path.",Defeat the Emperor’s Defenses
Target Rich Environment,You have been informed of a gang of eight thieves being held on Belsavis who still have open bounties on their heads. The bounty is all-or-nothing: All eight targets must be eliminated to receive payment.,Defeat Apex One
The Ferryman,Access your ship’s meeting console to restart this quest.,Travel to Belsavis
The Final Piece,"Your mission on Hoth is to recruit a technical specialist named Yuun into Havoc Squad. Yuun is currently assigned to recreate an Umbra encrypter, the device responsible for decades of unbreakable Imperial codes, using parts from crashed warships spread across Hoth’s frozen wastes.
Sergeant Yuun has determined that the final Umbra component has been taken to the Star of Coruscant, a fallen dreadnaught occupied by the White Maw pirates. Unfortunately, Sergeant Yuun’s squad has suffered heavy casualties, and they are unable to assist you in recovering the component. Travel to the Star of Coruscant in the Starship Graveyard and recover the final Umbra component.",Speak to Colonel Fierros
The Final Resistance,Defeat the White Maw pirates in the Star of Coruscant maintenance bay.,Defeat White Maw Pirates
The Icy Road to Victory,"Officer Ferrig is worried about Imperial morale on Hoth. He has asked you to reinvigorate the troops’ fighting spirit by bringing back some vital supplies from the starship graveyard.
Head to the starship graveyard and retrieve the supplies.",Recover Ship Parts
The Null Cannon,"Admiral Revald informed you that the power core the pirates were collecting was not the primary power source for the Null Cannon. He wants you to head to the coordinates found on the pirate datapad and search the base for the Null Cannon.
Head to the coordinates and search the base for the Null Cannon.",Speak to Admiral Revald
To Serve the King,"After putting together the evidence, you realized that Blaesus has been passing information to the Empire. But Senator Grell unwittingly sent Blaesus as an envoy of the Rift Alliance, to meet with his planet’s king and queen.
The king and queen may be in terrible danger. Head to Waypoint Station Three, and locate the royal family.",Defeat Lord Kyrus
Top Secret,"White Maw pirates have been salvaging computers from wrecked Republic starships. The computer terminals aboard those ships may still be functional and could hold valuable intel that would be disastrous if the pirates sold them to the Imperials.
Elias Inkari has asked you to place EMP mines on the ships’ computer terminals to render them useless. Head to the crashed ships in the Starship Graveyard and plant EMP mines to disable the computer teminals.",Disable the Computer Terminals
Trick or Treat,"The White Maw pirates have been using an advanced cloaking technology to drive both the Republic and the Empire from Hoth’s airspace. Senator Dodonna wants you to recover this technology for the Republic.
Guss Tuno admitted he was sent to Hoth to kill you by Rogun the Butcher, but now he’s offered to help you recover the cloaker to get out from Rogun’s thumb. He’s promised to meet you at the White Maw base where the cloaker is being held. Head to the Star of Coruscant in the starship graveyard on Hoth.",Defeat Shai Tenna
Victory or Death,Eliminate the White Maw forces within the starship graveyard.,Defeat White Maw Forces
War Crimes,"Havoc Squad needs to get the Republic’s best forces into the field in order to successfully repel General Rakton’s Imperial offensive. Your first objective is on the planet Belsavis–use your ship to travel there, then contact General Garza using your ship’s holoterminal.",Travel to Belsavis
[HEROIC 4] Invisible Foes,Captain Grollix reports that a group of Sith assassins has recovered a cache of experimental stealth units. Now they’re invisible and picking off Republic forces in the area with ease. Grollix has requested that you destroy the Sith and recover the stealth field generators.,Recover Stealth Field Generators
[HEROIC 4] The Big Find,"Captain Vujaar reports that several Jedi masters have been sighted leading a detachment of Republic commandos into the starship graveyard. The Empire has been trying to lure the Jedi out for months, so whatever they’re after must be big. Vujaar has asked you to go into the starship graveyard and recover whatever it is the Jedi have found.",Defeat and loot the Jedi Masters
A Failure to Communicate,Use your ship’s holocommunicator to restart this quest.,Return to Your Ship
A Flicker of Hope,Talk to Lieutenant Horn to restart this quest.,Go to Zale Barrows’s Starship
A Mysterious Enemy,"A probe droid reports that an entire Imperial platoon has been wiped out. The droid is uncertain who attacked the unit and has asked you investigate.
Find the remains of the Imperial platoon in the Clabburn Tundra.",Investigate the Fallen Imperial Platoon
A Mystic’s Path,"The Republic is fighting to win favor with the Voss, the inhabitants of a newly discovered and mysterious world. You have been asked to assist Ambassador Jannik in his efforts to negotiate an alliance. After exposing a Sith plot to recruit failed Mystics, the Voss envoy Laryn-Ki revealed that the Mystics have had a vision. You will help the Voss defeat the Gormak, a race of technologically advanced warriors and the mortal enemies of the Voss people.",Speak to Suva-Rak
A Sinking Fear,Clear the Clabburn Tundra of wampas.,Defeat Wampas
Abandoned Research,Defeat White Maw Pirates near the Drift Hills Research Outpost.,Defeat White Maw Pirates
An Unthinkable Alliance,"You awaken to find yourself in a strange place. The last thing you remember was the voice of the Emperor consuming your soul. You don’t know what happened, but you know you won’t figure it out just by sitting around.
Find an exit to the room you are being held in within the Emperor’s fortress.",Use the Tormentor Control Panel
Anarchy,"Master Satele has identified the top secret Republic world of Belsavis as one of the Emperor’s targets. You must uncover your enemy’s plans and stop them.
Travel to Belsavis and contact Master Satele via the ship’s holoterminal.",Travel to Belsavis
Battle of the Gauntlet,"Havoc Squad is back to full strength–it’s time to begin the assault on the Gauntlet superweapon. The future of the entire Republic depends on destroying the Empire’s creation before they can put it into mass production.
Travel to Coruscant and report to General Garza in her office in the Senate tower for your mission briefing.",Travel to Coruscant
"Black Boxes, White Ice","Captain Yunaali is gathering intel on the Republic’s flight tactics so she can train her pilots. She has asked you to recover the flight recorders from some crashed Republic star fighters.
Collect the Republic flight recorders in the Clabburn Tundra.",Recover Republic Flight Recorders
Black Ice,"Lord Ranath has finally located a dangerous group of Force-sensitive aliens that has eluded him for years. He has requested that you wipe these renegades out.
Destroy the alien fugitives at the Jagged Plains Encampment in the Clabburn Tundra.",Defeat the Fugitives
Breaking Hareth’s Defense,It appears that Colonel Hareth has prepared some defenses in advance of your arrival. Defeat the Imperial guard captains that stand between you and Colonel Hareth.,Defeat Imperial Guard Captains
Breakout,Your mission to uncover the galactic conspiracy manipulating the war leads to Belsavis. Keeper believes you will find more information about Hunter and his allies there.,Travel to Belsavis
Change In Plans,"Havoc Squad is assigned to extract the pilots of Dagger Wing from the Republic prison on Belsavis. Unfortunately, the pilots are spread out across the prison, helping to repel an Imperial raid.
Your closest contact is the group’s executive officer,Tobin Harlan, who is trying to stop Imperial forces from opening the ancient vaults that predate the prison’s construction.",Speak to Guard Captain Zess
Cleaning House,"On your way to Bolan, do a cleanup and defeat prisoners at vault K-66. Defeat sadistic convicts, crazed detainees and criminal masterminds in vault K-66 in the Minimum Security Section.",Defeat Prisoners at Vault K-66
Cutting Our Losses,"Farren Dulz informed you that the White Maw have stolen some signal jammers and are using them to disrupt the Republic’s communications. Farren doesn’t have the manpower to reclaim the jammers, so he wants you to destroy them.
Plant the explosives on the signal jammers in Crescent Canyon.",Plant Explosive 1
Declaration of War,"With the war against the Republic in full swing, Darth Baras has sent you to Quesh to stop a covert Republic operation.",Return To The Forward Command Center
Devoured,Defeat Stalking Ice Cats in the western Clabburn Tundra.,Defeat Stalking Ice Cats
Exterminator,Destroy kretch burrowers and kretch venomspitters in the secret passage exit in the High Security Section.,Kill Kretch
Extreme Prejudice,Eliminate the Republic Arctic Soldiers in the Crescent Cavern.,Defeat Republic Arctic Soldiers
Eyes on the Enemy,"An engineer named Soleks is trying to place warning beacons around a massive sinkhole, but the area is crawling with wampas. He has asked you to place the beacons for him.
Place the beacons around the sinkhole’s perimeter in the Clabburn Tundra.",Plant the Northern Navigation Beacon
First in Flight,"Sarria Jevad informed you that the Republic is trying to convert a starfighter into a combat snowspeeder. If they’re successful, the Republic will be able to traverse the treacherous terrain on Hoth with ease. The Republic engineers have booby-trapped the snowspeeder to prevent unauthorized use, so the only option is to destroy it.
Find the snowspeeder at the Drift Hills Republic Hangar in the Clabburn Tundra and destroy it.",Destroy the Snowspeeder
Forgotten But Not Gone,You’ve discovered a pack of savage beasts inside vault K-23. Defeat them before they escape and hurt anyone else.,Defeat Forgotten Beasts
Freeze Out The Empire,"Captain Elson and Captain Arden informed you that an Imperial transport holding two SIS agents captive was recently shot down. An escape pod was launched prior to the crash and Arden believes the agents hid vital information inside.
Find the escape pod in Crescent Canyon in Clabburn Tundra and search for the hidden intel.",Recover the Datapad
Frozen Search and Rescue,"One of Gavon Kroan’s recon teams has gone missing investigating some nearby caves. Gavon has asked you to find the missing scouts and bring them back to safety.
Search for the Republic scouts in the Ice Claw Wampa Den.",Rescue the Republic Scouts
Haywire Hindrance,Someone has reprogrammed Belsavis’s security droids to attack on sight. Dismantle the droids and clear cell block 923-A.,Destroy Reprogrammed Droids
Heist of the Millennium,"Darmas Pollaran introduced you to Vaz Traniff, a spacer who spends his time robbing ships. Vaz has a plan to rob an Imperial treasury ship called the King’s Ransom, but first he needs your help freeing his best vault cracker, Combo, before Rogun’s lieutenant can purchase him from the Hutts on Nar Shaddaa.
You prevented Rogun’s lieutenant, Strilth, from acquiring Combo. Now that Combo is free, you should speak with Vaz Traniff.",Talk to Senator Dodonna
Hostile Population,"From the Rakata monument on Hoth, you have learned of a “sleeping army” imprisoned on the planet Belsavis millennia ago. This army, an ancient race called the Esh-kha, once sought to destroy all other species, but if you can convince them to join your fight against the Empire, the Republic will have powerful new protectors.
Travel to Belsavis to begin your search for the Esh-kha.",Travel to Belsavis
Hoth: Bonus Series,General Ilic Nadab informed you that an unidentified threat has been butchering Republic troops in the Clabburn Tundra. He has asked you to discover who or what is behind these attacks and put a stop to it.,Assist Captain Armaruk
Hoth: Bonus Series,"You spoke to Captain Graich at Dorn Base, who introduced you to Khun Tazith, an advisor to the Minister of War. Khun has expressed a desire to speak privately with you about a “special project.”
Report to Khun Tazith at the Drift Hills Imperial Outpost in the Clabburn Tundra.",Speak to Khun Tazith
"I Came, I Froze, I…","A legendary wampa called the White Terror is on the rampage and threatens to devour an entire Ortolan colony. A Jedi named Kaiya Stas was injured trying to stop the creature and has asked you to destroy it.
Head to the Ice Claw Wampa Den and use the sonic agitator to draw the White Terror out.",Activate the Sonic Agitator
Inhumane,Eliminate the Bala D’ur forces found within their hideout.,Defeat Bala D’ur Forces
Last in Fight,Destroy the Republic forces outside the Drift Hills Republic Hangar.,Defeat Republic Hangar Forces
Leave Nothing Behind,"The Voidwolf is trying to destroy the King’s Ransom with you inside. You need to get off the treasury ship right away–but you should fill your pockets first.
Loot what you can from the third vault before escaping back to the shuttle.",Loot Cold Storage Crate from Vault 3
Modest Proposals,"You uncovered the mystery of the White Maw’s cloaking technology on Hoth and wrapped things up with Senator Dodonna.
Now you’ve received another holocommunication from Darmas Palloran. Answer your ship’s holoterminal.",Use Your Ship’s Holoterminal
New Circumstances,Use your ship’s galaxy map to travel to Hoth.,Speak to Aric Jorgan on your Ship
Notorious,"After the conclusion of your business on Hoth, you were contacted by Bloodworthy and several of the other Grand Champions of the Great Hunt.
In light of your record-breaking success, they came to the decision to organize a celebration in your honor at one of the poshest locations on Nar Shaddaa’s Promenade. Use your ship’s galaxy map to travel to Nar Shaddaa.",Travel to Nar Shaddaa
Open Season,"An Imperial spy named Kinto Symms has been feeding the Republic misinformation about the possibility of training pantran whitefangs. In truth, only a handful of the creatures have the intelligence required for domestication. Kinto wants you to kill the few pantran whitefangs that are trainable and crush the Republic’s hopes of having a combat-worthy specimen.
Clear the Jagged Plains of the Savage Whitefang Alphas.",Kill the Savage Whitefang Alphas
Operation Talon,You have an urgent incoming transmission from General Garza. Use your ship’s holoterminal to answer her call.,Locate the Heads of State
Operational Hazards,"Your objective is the total destruction of the Gauntlet. Leave nothing to chance–anything that can be destroyed, should be destroyed.",Inflict Maximum Structural Damage
Overrun,Defeat the White Maw pirates in the Drift Hills Prisoner Camp.,Defeat White Maw
Population Control,Escaped prisoners are running amok in the Minimum Security Section. Defeat as many as possible to ensure the safety of the Dagger Wing pilots and others.,Defeat Escaped Maniacs
Power Play,"With Jedi Knight Xerender and Master Wyellett neutralized, Plan Zero is finally complete. Darth Baras is pleased with your success but wishes to discuss the next step with you in person.
Use your ship’s galaxy map to travel to Dromund Kaas and meet with Darth Baras.",Travel to Dromund Kaas
Predatory Creatures,Defeat Force-Dominated creatures in the Jagged Plains Cavern.,Defeat Force-Dominated Creatures
Prison Break,You’ve journeyed to the ancient Rakata prison world of Belsavis in pursuit of the secret to controlling your volatile power.,Travel to Belsavis
Prison Power Outage,"You were alerted by an automated Rakata monitoring system that one of the prison’s shield generators is failing. If the generator goes out, many Esh-kha prisoners will be released. You have agreed to repair the Rakata generator and make sure the Esh-kha don’t escape.",Repair the Control Conduit
Repair the Surveillance Cameras,Kal asked you to repair surveillance cameras around the prison to keep track of the rioting. Repair the surveillance cameras in the High Security Section labor camp.,Repair the Surveillance Cameras
Shadow Defenders,Phase X Sovereign Droids guard the Shadow Arsenal facility and its powerful weapon. Destroy these droids to improve the odds for Ardun Kothe’s SIS strike team.,Defeat the Phase X Sovereign Droids
Shatter,Destroy the fugitives’ equipment around their camp in the Clabburn Tundra.,Demolish Black Ice Equipment
Show of Force,Defeat key members of the Republic task force in the abandoned mine on Quesh.,Defeat Republic Task Force Sentries
Skel Infestation,Defeat any Skel you find in Frostclaw’s lair.,Defeat Vicious Skel
Sleeping Madness,Defeat Bala D’ur in the northeast Clabburn Tundra.,Defeat Bala D’ur
Smash and Grab,"You have teamed up with a pair of thieves named Vaz Traniff and Combo to rob the Imperial treasury starship “The King’s Ransom.” Your team has successfully infiltrated the vessel. Your job now is to loot every vault in high security storage and escape before the Imperials send reinforcements.
Defeat the Imperial forces guarding the Treasury Ship “The King’s Ransom.”",Defeat King’s Ransom Guards
Snowbound,Defeat Imperial Snow Troopers in the northwest Clabburn Tundra.,Defeat Imperial Snow Troopers
Snowbound,Defeat Imperial Snow Troopers in the northwest Clabburn Tundra,Defeat Imperial Snow Troopers
Stop the Saboteurs,Defeat the Esh-kha saboteurs to ensure they can’t free their comrades in the Maximum Security Section.,Defeat the Esh-kha Saboteurs
Straight and Narrow,"You and Qyzen have discovered that a Trandoshan, Veneb Drassk, has been dishonorably killing fellow Trandoshan hunters. However, Veneb has a high status in Trandoshan society, perhaps with the Scorekeeper’s blessing.
After a crisis of faith, Qyzen has finally decided to confront Veneb and his clan on Taris. Use your ship’s galaxy map to travel to Taris.",Travel to Taris
Strong Arm,"Darth Baras has deployed an operative to Belsavis in order to free his sister, Darth Ekkage, from prison. Ekkage is one of the greatest Sith assassins of all time, and you must stop her from leaving the planet–by any means necessary.",Defeat Lord Melicoste’s Forces
Suppression of Hostilities,"LOCATION: Station 256 (entire area)
CONTEXT: Rescuing the kidnapped leaders is priority but the elimination of unwanted vermin roosting in neutral space is a politically valuable move.
OBJECTIVE: Eliminate all hostiles from Station 256.",Eliminate All Imperial Forces
Tech Specialty,Defeat the Imperial tech specialists in the Minimum Security Section.,Defeat Imperial Tech Specialists
The Beast Lord,"Master Heljus revealed that the Sith are using a Beast-Lord of Onderon to control Hoth’s most vicious predators. Master Heljus’s Padawan, Elsor, has asked you to defeat the Beast-Lord before his minions overrun the Republic’s forces.
Go to the Jagged Plains Cavern in the Clabburn Tundra and defeat the Beast-Lord.",Defeat the Beast-Lord
The Hidden Throne,"Your mission against Ardun Kothe and the SIS is over, but much remains to be done. The galaxy is on the brink of all-out war and Intelligence still needs your services.",Use Your Ship’s Holoterminal
The Lost Patrol,"Captain Armaruk reports that an unknown threat has just butchered his recon team. He received one final transmission that spoke of a “living shadow,” but beyond that, he has no idea who their attacker was. Armaruk wants you to retreive the squad’s combat sensor logs so he can determine who–or what–killed his men.
Retrieve the Recon Squad’s combat sensor data in the Western Clabburn Tundra.",Recover Combat Sensor Data
The Price of Power,"Your attempt to defeat Darth Thanaton backfired when you lost control of the power you took from the Force Walking ritual. Now, your body is ravaged and you can no longer control the ghosts in your mind. You must find a cure before Darth Thanaton realizes you’re alive.",Read the Lost Chapter of Vilus’s Journal
The Shadow Arsenal,"Your assignment to infiltrate the SIS may be approaching its end. Ardun Kothe has promised that all will be revealed soon and summoned his team to Quesh.
It’s time to learn what he’s up to and stop his plans for good. Use your ship’s galaxy map to travel to Quesh.",Defeat Ardun Kothe
Thirst for Knowledge,Darth Thanaton’s private library is full of valuable knowledge. Examine the objects stored here while searching for insight into your illness.,Search All Objects in the Library
Trouble at the Farm,Escaped prisoners are running amok in the Minimum Security Section. Defeat as many as possible to ensure the safety of the Dagger Wing pilots and others.,Defeat Escaped Prisoners at the Agricultural Zone
True Champion,Darth Vengean’s most powerful Sith followers stand guard within his compound. Strike down Vengean’s Sith champions to further weaken his power base.,Defeat Vengean’s Sith Champions
True Predator,Scavenging beasts have appeared in the cave you left full of corposes. Defeat them.,Defeat Scavenger Beasts
Watching the Watchers,There is a new generation of Watchers at Imperial Intelligence. Speak to Watcher Three at headquarters to learn about the situation.,Speak to Watcher Three
Zero Reclamation,Defeat the Republic forces around the crashed fighters in the Clabburn Tundra.,Eliminate Republic Forces
[HEROIC 2+] Better Droids,"A Republic engineer, Kerkarr, wants you to locate some cold-resistant battle droids that were damaged in a crash landing. Kerkarr has asked you to recover the droid design specs from the crash site, destroy the malfunctioning droids, and then recover their datacores and specialized parts.
Destroy the renegade droids in the Clabburn Tundra and collect their datacores and irreplaceable parts. Recover any plans not destroyed in the crash.",Salvage Irreplaceable Parts
[HEROIC 2+] Pirated Lock Box,"Captain Switts informed you that a Republic shuttle transporting high-level military orders was recently shot down by White Maw pirates. The pirates confiscated the lock box containing the orders, but they don’t have the cylinder key that opens it. Switts has asked you to recover the lock box and the pieces of the cylinder key.
Loot the pass keys from the Republic shuttle crew members in the Clabburn Tundra.",Recover the Shuttle Pilot’s Pass Key
[HEROIC 2+] Signal Jam,"Jaro Dev reports that the White Maw pirates are using a transmitter to disrupt the Republic’s communications. Jaro needs you to destroy the pirates’ comm system before they can move their base of operations.
Head to the White Maw cave and destroy the comm system.",Destroy the Comm Systems
[HEROIC 2+] Taking the Heat,"Captain Viatar reports that Republic sappers are tunneling beneath the Jagged Plains Imperial Garrison in an attempt to melt the outpost’s foundation. Viatar sent a team to stop the saboteurs, but they were mauled by wampas. He has asked you to stop the Republic sappers before they destroy the base.
Defeat the Republic arctic saboteurs in the Crescent Cavern in the Clabburn Tundra and destroy their lasers.",Defeat the Republic Arctic Saboteurs
[HEROIC 2+] Tech Diagrams,"Corporal Fabel told you the White Maw pirates have hired some Anomid engineers to build an Arc Emitter, a device capable of disabling any equipment running off a generator. Fabel wants you to steal an Anomid diagnostic pad and recalibrate it to make the Arc Emitter target and destroy itself.
Head to the Drift Hills Research Outpost in the Clabburn Tundra and loot a diagnostic pad from the pirates there.",Recover a Diagnostic Pad
[HEROIC 4] A Traitor’s Punishment,"Lord Varos has asked for your assistance in killing his former master, Lord Ranor. According to Varos, Lord Ranor is secretly training a band of apprentices to serve his own agenda. Varos wants you to eliminate Lord Ranor and pin his death on the Republic.
Destroy Lord Ranor and his apprentices in the Sith Training Ground.",Defeat Apprentice Avanj
[HEROIC 4] Frostclaw,"A frightened Ortolan named Neelo Droobas insists that a giant Skel called Frostclaw has been hunting Republic scouts. Nobody seems to believe Neelo so he’s asked for your help in destroying the mighty creature.
Go to Frostclaw’s Den and defeat Frostclaw.",Defeat Frostclaw
[HEROIC 4] Humanitarian Aid,"Maya Drin informed you that Bala D’ur pirates have taken Ortolans from their homes and turned them into slaves. Maya has asked you to infiltrate the Bala D’ur’s stronghold and free the captive Ortolans.
Head to the Bala D’ur Hideout, defeat the Bala D’ur pirates, and free the Ortolan slaves.",Release the Ortolan Slaves
[HEROIC 4] Sensitive Material,"Lieutenant Zerdran reports that a Republic Spec Ops team, Xesh Squad, recently broke into the Drift Hills Imperial Outpost and stole vital data outlining the Empire’s campaign on Hoth. Xesh Squad are now holed up in an abandoned Ortolan outpost, awaiting extraction. Zerdran has asked you to defeat the Xesh Squad commandos and recover the stolen data files.",Bring back Top Secret Imperial Data Files
[HEROIC 4] Static,"Captain Jerrod reports that some Imperials are being held in a nearby Republic POW camp. The camp is being guarded by Advozse mercenaries who have thwarted every rescue attempt. Jerrod has requested that you clear the POW camp and free the Imperial soldiers kept there.
Go to the Drift Hills Prison Camp in Clabburn Tundra.",Release Imperial Prisoners
A Belsavis Welcome,"You were informed by an intake officer at the Belsavis Orbital Station that Warden Playt wishes to speak with you on the surface.
Speak to Warden Playt in the Prison Administration Center on Belsavis.",Speak to Warden Playt
Additional Force Authorized,Defeat the Condemned forces in the Prison Administration Center.,Defeat the Condemned Forces
Aiding and Abetting,"The prison world Belsavis holds Rogun the Butcher’s former mentor and partner Ivory, a man with insider knowledge of your enemy’s criminal operations. In the chaos of an Imperial invasion and massive prison riots, Ivory has escaped his cell.
Marshall Cavarat revealed that Ivory is freeing his former crewmates. They’re headed deeper into the prison on a mysterious mission, and you’re the only person who can stop them.",Search Ivory’s Cell
And a Few More,Defeat the Trandoshan forces in the High Security Section.,Defeat Trandoshan Forces
As Far as You Can Throw Her,"The anarchist leader called “The Wheezer” has been in secret contact with Kaliyo, looking for her help. You agreed to accompany her to meet the man in person.",Go to Hutta
Background Noise,Defeat the Rattataki prisoners to prevent future attacks against Republic forces.,Defeat the Escaped Rattataki
Battle the Horde,Dozens and dozens of Rattataki members of the Blood of Talath swarm through the High Security Section. You obtained their tribal totem; bring it to the mission dropbox for the Republic forces.,Updating…
Before the Bomb,Defeat the Imperial forces at the power relay.,Defeat Imperial Forces
Belsavis: Bonus Series,Agent Moritt reports that the Esh-kha deep in Belsavis’s prison have begun using ancient Rakata transportation technology to escape the planet. You’ll need to assist Republic forces to stop the breakout.,Meet with Agent Poz
Breaking the Herd,"Upon arriving on Belsavis, the Empire set loose several groups of aliens in the High Security Section to crush and disorient Republic forces in the area. With Republic forces in the High Security Section now at minimum strength, the alien gangs have turned their attention to attacking Imperial forces.",Defeat Gamorrean Gang Members
Breaking Their Stuff,"Destroy the Gamorrean, Gand and Anomid gangs’ equipment in the High Security Section.",Destroy Gamorrean Equipment
Captors’ Captors,Defeat the Rodians and their reprogrammed tracker droids in the High Security Section.,Defeat Rodian Forces
Catalyzing The Conversion,Master Sergeant Korum unwittingly released hostile ancient war droids that began slaughtering Korum’s forces.,Reprogram Ancient War Droids
Category Ten,"Searching for the ancient, imprisoned Esh-kha on the prison world Belsavis, you have encountered another Child of the Emperor. Commander Geland, once a respected Republic officer, has revealed himself as one of the Children and now threatens your mission.
Now Commander Geland has tagged you as a “category ten” prisoner and ordered the prison security systems to attack you on sight. An unknown benefactor overrode Geland’s transmission and told you that the only way to reverse the order is to repair the damaged terminal in the blown Rakata prison vault.",Access the Rakata Terminal
Chaos and Harmony,"You and the Rift Alliance forces have retaken Corellia’s critical fortresses, the Guardian Holds. With them, the Republic stands a chance against the Empire. But the First Son is still at large, his will shielding the Children of the Emperor from being detected by the Jedi. Until you face him, the Republic will never be truly safe.",Locate the First Son
Clear the Prototype Vault,Defeat the Gamorrean forces that have taken up position within the prototype vault.,Defeat the Gamorrean Forces
Clear the Vault,Destroy the vault security droids to escape Geland’s trap.,Destroy Vault Security Droids
Cold Storage,Cut the Voidwolf’s supply lines by turning the Imperial supply crates into scrap metal.,Destroy Imperial Supply Crates
Converting the Unconvertable,"The ancient droids found in vault K-66 aren’t all reprogrammable, but you’ve obtained processors from those who resisted conversion. Deliver them to the mission dropbox in the Minimum Security Section for Imperial study.",Updating…
Countdown to Jailbreak,"You met with Colonel Hauer and Senator Tudos, who told you that Rattataki prisoners have been stealing power cores form the warden droids. They’re using the power cores to build a makeshift bomb so they can blow their way out of their holding cells.
You’ve been asked to defuse the bomb so the Rattataki can’t escape.",Return to Colonel Hauer
Crisis Prevention,Assistant Warden Graal and Officer Gerro report that a Kaleesh named Nyranos is leading the Condemned with the Empire’s support. Officer Gerro used one of Nyranos’s transmissions to pinpoint the location of the Condemned’s hideout. Graal has requested you ambush the Condemned and find out what they’re planning.,Investigate the Condemned Hideout
Crush the Crisis Response Unit,Defeat the Crisis Response Unit and heavy restraint droids in the Minimum Security Section.,Defeat the Crisis Responders
Death Spiral,"Executor Krannus has taken his Imperial strike team deeper into the prison on Belsavis. You still don’t know what he’s after, but it seems to be related to a scientist named Doctor Gantrell.",Secure the Prototype Vault
Death Spiral: Locating the Scientists,"Executor Krannus has taken his Imperial strike team deeper into the prison on Belsavis. You still don’t know what he’s after, but it seems to be related to a scientist named Doctor Gantrell.",Reactivate Detention Center Monitoring Station
Defeat Droid Bodyguards,Defeat Zale Barrows’s droid bodyguards within the prison industrial facility.,Defeat Droid Bodyguards
Eliminate the Esh-kha Horde,Defeat the Esh-kha forces in vault 914 in the tomb.,Eliminate the Esh-kha in Vault 914
Escapee Hunting,"While resetting the locator towers, defeat any escaped prisoners that interfere with you.",Defeat Escaped Prisoners
Esh-kha Obstruction,Gangs of escaped Esh-kha are running rampant in the prison. Defeat the Esh-kha in security block J-9 in the Maximum Security Section of the prison on Belsavis.,Defeat Esh-kha Forces
Evacuation,"Officer Mark Vempor reports that many of the prison guards’ family members are trapped in the prisoner intake lot. The guards want to get their families safely offworld as soon as possible. They’ve commandeered an armored vehicle to transport the civilians, so Officer Vempor has asked you to clear the path from the vehicle lot to the prisoner intake yard.",Speak to the Transport Driver
Explosive Entrance,Major Camren is furious with the Empire for wiping out his unit. Now the Imperials have commandeered a power station. Camren is determined to see it destroyed and has enlisted your help in getting the job done.,Plant the Charges
Extinguishing A Threat,Rattataki prisoners have overrun the prison’s primary monitoring station. Clear them out to secure the station. Defeat the Rattataki prisoners in the Republic detention compound in the High Security Section.,Defeat Rattataki Prisoners
Fifth Time’s the Charm,A brutish Devaronian called Gholan has acquired a key to the security field protecting Marshal Ruger’s guard station. You’ll need that key in order to put an end to Ruger’s attempts to quell the riot.,Look for Signs of Gholan
Final Stage – Battle the Horde,Dozens and dozens of Rattataki members of the Blood of Talath swarm through the High Security Section. Defeat their so-called “Beastmaster of Talath” and retrieve his totem.,Updating…
Final Stage – Converting the Unconvertable,"The ancient droids found in vault K-66 aren’t all reprogrammable. Destroy the Master Controller, the droid who appears to be responsible for commanding the forces who can’t be converted. If you can obtain its core processor, it could be very valuable for Imperial study.",Updating…
For Want of a Droid,"Officer Brad Narong is trying to fix some malfunctioning warden droids, but all the vital parts were stolen by a group of Mandalorian convicts, who then used the parts to build turret defenses. Narong needs you to destroy the Mandalorian turrets and salvage the stolen droid parts from them so he can repair his droids.",Retrieve Motivator Coils
Further Research,Defeat the Anomid forces in the overrun Republic lab.,Defeat the Anomid Forces
Gearing Up,Captain Habbaz has asked you to stop a group of Rattataki have occupied a nearby factory and are using its equipment to create weaponry.,Defeat Rattataki Warlords
High Security Storage Strike,Defeat the Republic forces to cut them off from their supplies.,Defeat Republic Forces
Incapacitate Prisoners,You have received the optional objective to incapacitate Condemned prisoners using stun grenades. Use the stun grenades on prisoners in the Republic armory in the Minimum Security Section.,Incapacitate Prisoners
Information Warfare,Operative Bator tasked you with the retrieval of the Republic researchers responsible for the domination experiments from the Rodians holding the researchers hostage.,Use Restraining Collars on Republic Researchers
